timestamp,ch1 (µV),event
6.9900,27.54,0
6.9950,27.54,0
7.0000,27.54,0
7.0050,27.54,0
7.0100,34.86,0
7.0150,-21.81,0
7.0200,-28.56,0
7.0250,-42.35,0
7.0300,-42.35,0
7.0350,-0.39,0
7.0400,-0.39,0
7.0450,36.36,0
7.0500,-0.39,0
7.0550,43.27,0
7.0600,53.34,0
7.0650,35.50,0
7.0700,13.50,0
7.0750,35.50,0
7.0800,-1.74,0
7.0850,-1.74,0
7.0900,-18.62,0
7.0950,-18.62,0
7.1000,48.30,0
7.1050,48.30,0
7.1100,32.48,0
7.1150,-0.84,0
7.1200,-0.84,0
7.1250,-15.85,0
7.1300,-15.85,0
7.1350,-30.68,0
7.1400,-30.68,0
7.1450,-30.68,0
7.1500,-30.68,0
7.1550,-1.13,0
7.1600,-1.13,0
7.1650,-13.36,0
7.1700,-13.36,0
7.1750,-27.31,0
7.1800,-27.31,0
7.1850,23.20,0
7.1900,23.20,0
7.1950,-0.63,0
7.2000,-0.63,0
7.2050,-9.12,0
7.2100,-9.12,0
7.2150,35.21,0
7.2200,35.21,0
7.2250,23.89,0
7.2300,23.89,0
7.2350,23.89,0
7.2400,23.89,0
7.2450,-0.86,0
7.2500,-0.86,0
7.2550,-18.52,0
7.2600,-18.20,0
7.2650,-18.20,0
7.2700,-18.20,0
7.2750,-18.20,0
7.2800,1.49,0
7.2850,-4.89,0
7.2900,-4.89,0
7.2950,-4.89,0
7.3000,-14.94,0
7.3050,55.94,0
7.3100,16.85,0
7.3150,24.97,0
7.3200,-28.90,0
7.3250,24.97,0
7.3300,24.97,0
7.3350,3.78,0
7.3400,3.78,0
7.3450,15.81,0
7.3500,15.81,0
7.3550,-14.58,0
7.3600,-14.58,0
7.3650,-14.58,0
7.3700,-10.23,0
7.3750,-4.53,0
7.3800,-4.53,0
7.3850,3.78,0
7.3900,20.60,0
7.3950,20.60,0
7.4000,-15.48,0
7.4050,-15.48,0
7.4100,-4.65,0
7.4150,2.50,0
7.4200,2.50,0
7.4250,2.50,0
7.4300,2.50,0
7.4350,2.50,0
7.4400,-30.59,0
7.4450,-30.59,0
7.4500,34.71,0
7.4550,20.60,0
7.4600,8.26,0
7.4650,24.84,0
7.4700,24.84,0
7.4750,24.84,0
7.4800,24.84,0
7.4850,42.02,0
7.4900,-14.52,0
7.4950,26.16,0
7.5000,-17.08,0
7.5050,-21.84,0
7.5100,28.09,0
7.5150,-33.41,0
7.5200,-33.41,0
7.5250,27.41,0
7.5300,-33.41,0
7.5350,-33.41,0
7.5400,-33.41,0
7.5450,-33.41,0
7.5500,-21.37,0
7.5550,-32.93,0
7.5600,-32.93,0
7.5650,45.59,0
7.5700,45.59,0
7.5750,45.59,0
7.5800,45.59,0
7.5850,8.94,0
7.5900,8.94,0
7.5950,24.31,0
7.6000,24.31,0
7.6050,42.74,0
7.6100,42.74,0
7.6150,-21.73,0
7.6200,-21.73,0
7.6250,8.07,0
7.6300,8.07,0
7.6350,25.08,0
7.6400,25.08,0
7.6450,-17.57,0
7.6500,-35.80,0
7.6550,-19.01,0
7.6600,45.59,0
7.6650,11.33,0
7.6700,11.33,0
7.6750,26.10,0
7.6800,26.10,0
7.6850,-31.98,0
7.6900,-31.98,0
7.6950,45.90,0
7.7000,14.42,0
7.7050,13.18,0
7.7100,13.18,0
7.7150,25.31,0
7.7200,25.31,0
7.7250,45.81,0
7.7300,45.81,0
7.7350,-21.20,0
7.7400,-21.20,0
7.7450,12.93,0
7.7500,12.93,0
7.7550,25.46,0
7.7600,44.72,0
7.7650,-34.99,0
7.7700,-34.99,0
7.7750,-20.56,0
7.7800,-20.56,0
7.7850,-20.56,0
7.7900,-20.56,0
7.7950,11.32,0
7.8000,11.32,0
7.8050,43.41,0
7.8100,43.41,0
7.8150,43.41,0
7.8200,43.41,0
7.8250,11.47,0
7.8300,44.85,0
7.8350,23.40,0
7.8400,-34.99,0
7.8450,-33.46,0
7.8500,-33.46,0
7.8550,45.61,0
7.8600,-2.43,0
7.8650,-24.29,0
7.8700,-24.29,0
7.8750,21.44,0
7.8800,-38.33,0
7.8850,-31.36,0
7.8900,-31.36,0
7.8950,37.03,0
7.9000,-31.36,0
7.9050,-24.14,0
7.9100,-24.14,0
7.9150,14.13,0
7.9200,-4.71,0
7.9250,-35.04,0
7.9300,-35.04,0
7.9350,-35.04,0
7.9400,-35.04,0
7.9450,-35.04,0
7.9500,14.43,0
7.9550,14.43,0
7.9600,-2.41,0
7.9650,21.62,0
7.9700,21.62,0
7.9750,14.13,0
7.9800,46.19,0
7.9850,46.19,0
7.9900,46.19,0
7.9950,46.19,0
8.0000,20.75,0
8.0050,20.75,0
8.0100,-39.79,0
8.0150,-39.79,0
8.0200,-26.37,0
8.0250,-26.37,0
8.0300,14.70,0
8.0350,14.70,0
8.0400,14.70,0
8.0450,22.65,0
8.0500,22.65,0
8.0550,51.06,0
8.0600,51.06,0
8.0650,51.06,0
8.0700,51.06,0
8.0750,51.06,0
8.0800,51.06,0
8.0850,17.26,0
8.0900,55.04,0
8.0950,55.04,0
8.1000,-32.45,0
8.1050,-29.43,0
8.1100,-29.43,0
8.1150,-29.43,0
8.1200,-29.43,0
8.1250,-29.43,0
8.1300,-29.43,0
8.1350,38.08,0
8.1400,38.08,0
8.1450,-9.92,0
8.1500,-9.92,0
8.1550,41.34,0
8.1600,41.34,0
8.1650,36.62,0
8.1700,36.62,0
8.1750,36.62,0
8.1800,-9.13,0
8.1850,-9.13,0
8.1900,-9.13,0
8.1950,39.08,0
8.2000,39.08,0
8.2050,36.59,0
8.2100,36.59,0
8.2150,-7.09,0
8.2200,-7.09,0
8.2250,-7.09,0
8.2300,17.41,0
8.2350,-7.09,0
8.2400,-30.35,0
8.2450,-30.35,0
8.2500,-30.35,0
8.2550,46.96,0
8.2600,-3.19,0
8.2650,-3.19,0
8.2700,-3.19,0
8.2750,-3.19,0
8.2800,-3.19,0
8.2850,-5.93,0
8.2900,34.48,0
8.2950,30.78,0
8.3000,30.78,0
8.3050,-6.45,0
8.3100,-6.45,0
8.3150,-6.45,0
8.3200,36.76,0
8.3250,36.76,0
8.3300,30.28,0
8.3350,30.28,0
8.3400,28.89,0
8.3450,-3.28,0
8.3500,15.18,0
8.3550,30.97,0
8.3600,30.97,0
8.3650,-26.08,0
8.3700,-26.08,0
8.3750,-4.70,0
8.3800,27.82,0
8.3850,-1.62,0
8.3900,-1.62,0
8.3950,-1.62,0
8.4000,-1.62,0
8.4050,-23.60,0
8.4100,-23.60,0
8.4150,26.03,0
8.4200,-4.18,0
8.4250,-4.74,0
8.4300,-5.12,0
8.4350,-5.12,0
8.4400,-5.12,0
8.4450,-5.12,0
8.4500,28.74,0
8.4550,28.74,0
8.4600,-1.24,0
8.4650,-1.24,0
8.4700,0.84,0
8.4750,0.84,0
8.4800,-25.06,0
8.4850,-25.06,0
8.4900,25.43,0
8.4950,25.43,0
8.5000,25.43,0
8.5050,25.43,0
8.5100,-1.48,0
8.5150,-1.48,0
8.5200,-1.48,0
8.5250,-1.48,0
8.5300,-1.48,0
8.5350,-24.23,0
8.5400,-24.23,0
8.5450,-3.41,0
8.5500,-3.41,0
8.5550,-3.41,0
8.5600,28.40,0
