peak_id,timestamp,amplitude,min_amplitude,mean_frequency,median_frequency,predicted_class,confidence,prob_10,prob_25,prob_50
1,3.05,2222.8765041206834,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.8801725,0.8801725,0.09277737,0.027050128
2,9.565,6456.255995194968,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.8801725,0.8801725,0.09277737,0.027050128
3,11.205,-10605.847214787438,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.72458357,0.72458357,0.22322762,0.052188884
4,16.23,-38.123226978629546,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.72458357,0.72458357,0.22322762,0.052188884
5,20.08,-40.58467909715736,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.72458357,0.72458357,0.22322762,0.052188884
6,25.325,-34.94269188181404,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.72458357,0.72458357,0.22322762,0.052188884
7,30.84,-30.17897243810844,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.72458357,0.72458357,0.22322762,0.052188884
8,39.495,-26.681488658891112,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.72458357,0.72458357,0.22322762,0.052188884
9,44.6,-23.194450850593977,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.72458357,0.72458357,0.22322762,0.052188884
10,49.93,6.237509647566816,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.7858557,0.7858557,0.16677412,0.047370207
11,54.975,-3.0182791198609467,-10605.847214787438,26.157945989498387,21.999999999999996,10,0.72458357,0.72458357,0.22322762,0.052188884
