timestamp,emg,event
2113.709091,509.000000,0
2113.713636,509.000000,0
2113.718182,509.000000,0
2113.722727,509.000000,0
2113.727273,509.000000,0
2113.731818,509.000000,0
2113.736364,509.000000,0
2113.740909,512.000000,0
2113.745455,512.000000,0
2113.750000,512.000000,0
2113.754545,512.000000,0
2113.759091,509.000000,0
2113.763636,509.000000,0
2113.768182,509.000000,0
2113.772727,509.000000,0
2113.777273,512.000000,0
2113.781818,512.000000,0
2113.786364,513.000000,0
2113.790909,513.000000,0
2113.795455,512.000000,0
2113.800000,512.000000,0
2113.804545,512.000000,0
2113.809091,512.000000,0
2113.813636,510.000000,0
2113.818182,510.000000,0
2113.822727,510.000000,0
2113.827273,509.000000,0
2113.831818,509.000000,0
2113.836364,509.000000,0
2113.840909,510.000000,0
2113.845455,508.000000,0
2113.850000,508.000000,0
2113.854545,509.000000,0
2113.859091,509.000000,0
2113.863636,509.000000,0
2113.868182,512.000000,0
2113.872727,512.000000,0
2113.877273,512.000000,0
2113.881818,512.000000,0
2113.886364,512.000000,0
2113.890909,512.000000,0
2113.895455,509.000000,0
2113.900000,509.000000,0
2113.904545,509.000000,0
2113.909091,509.000000,0
2113.913636,509.000000,0
2113.918182,509.000000,0
2113.922727,509.000000,0
2113.927273,509.000000,0
2113.931818,509.000000,0
2113.936364,509.000000,0
2113.940909,509.000000,0
2113.945455,509.000000,0
2113.950000,509.000000,0
2113.954545,509.000000,0
2113.959091,509.000000,0
2113.963636,509.000000,0
2113.968182,510.000000,0
2113.972727,510.000000,0
2113.977273,510.000000,0
2113.981818,510.000000,0
2113.986364,512.000000,0
2113.990909,512.000000,0
2113.995455,512.000000,0
2114.000000,512.000000,0
2114.004545,512.000000,0
2114.009091,512.000000,0
2114.013636,512.000000,0
2114.018182,512.000000,0
2114.022727,510.000000,0
2114.027273,510.000000,0
2114.031818,510.000000,0
2114.036364,510.000000,0
2114.040909,509.000000,0
2114.045455,509.000000,0
2114.050000,509.000000,0
2114.054545,509.000000,0
2114.059091,509.000000,0
2114.063636,509.000000,0
2114.068182,509.000000,0
2114.072727,509.000000,0
2114.077273,509.000000,0
2114.081818,509.000000,0
2114.086364,509.000000,0
2114.090909,512.000000,0
2114.095455,512.000000,0
2114.100000,512.000000,0
2114.104545,512.000000,0
2114.109091,510.000000,0
2114.113636,510.000000,0
2114.118182,510.000000,0
2114.122727,510.000000,0
2114.127273,510.000000,0
2114.131818,512.000000,0
2114.136364,512.000000,0
2114.140909,512.000000,0
2114.145455,513.000000,0
2114.150000,513.000000,0
2114.154545,513.000000,0
2114.159091,513.000000,0
2114.163636,510.000000,0
2114.168182,510.000000,0
2114.172727,510.000000,0
2114.177273,510.000000,0
2114.181818,510.000000,0
2114.186364,510.000000,0
2114.190909,510.000000,0
2114.195455,510.000000,0
2114.200000,510.000000,0
2114.204545,510.000000,0
2114.209091,510.000000,0
2114.213636,509.000000,0
2114.218182,509.000000,0
2114.222727,509.000000,0
2114.227273,512.000000,0
2114.231818,512.000000,0
2114.236364,512.000000,0
2114.240909,512.000000,0
2114.245455,512.000000,0
2114.250000,512.000000,0
2114.254545,512.000000,0
2114.259091,512.000000,0
2114.263636,509.000000,0
2114.268182,509.000000,0
2114.272727,509.000000,0
2114.277273,510.000000,0
2114.281818,510.000000,0
2114.286364,510.000000,0
2114.290909,510.000000,0
2114.295455,510.000000,0
2114.300000,510.000000,0
2114.304545,512.000000,0
2114.309091,512.000000,0
2114.313636,512.000000,0
2114.318182,512.000000,0
2114.322727,510.000000,0
2114.327273,510.000000,0
2114.331818,510.000000,0
2114.336364,510.000000,0
2114.340909,509.000000,0
2114.345455,509.000000,0
2114.350000,509.000000,0
2114.354545,513.000000,0
2114.359091,513.000000,0
2114.363636,513.000000,0
2114.368182,513.000000,0
2114.372727,513.000000,0
2114.377273,513.000000,0
2114.381818,513.000000,0
2114.386364,513.000000,0
2114.390909,512.000000,0
2114.395455,512.000000,0
2114.400000,512.000000,0
2114.404545,512.000000,0
2114.409091,513.000000,0
2114.413636,513.000000,0
2114.418182,513.000000,0
2114.422727,513.000000,0
2114.427273,510.000000,0
2114.431818,510.000000,0
2114.436364,510.000000,0
2114.440909,510.000000,0
2114.445455,509.000000,0
2114.450000,509.000000,0
2114.454545,509.000000,0
2114.459091,509.000000,0
2114.463636,509.000000,0
2114.468182,509.000000,0
2114.472727,509.000000,0
2114.477273,509.000000,0
2114.481818,509.000000,0
2114.486364,509.000000,0
2114.490909,509.000000,0
2114.495455,509.000000,0
2114.500000,509.000000,0
2114.504545,509.000000,0
2114.509091,509.000000,0
2114.513636,510.000000,0
2114.518182,510.000000,0
2114.522727,513.000000,0
2114.527273,513.000000,0
2114.531818,513.000000,0
2114.536364,509.000000,0
2114.540909,509.000000,0
2114.545455,509.000000,0
2114.550000,510.000000,0
2114.554545,510.000000,0
2114.559091,509.000000,0
2114.563636,509.000000,0
2114.568182,510.000000,0
2114.572727,510.000000,0
2114.577273,512.000000,0
2114.581818,512.000000,0
2114.586364,512.000000,0
2114.590909,512.000000,0
2114.595455,512.000000,0
2114.600000,512.000000,0
2114.604545,512.000000,0
2114.609091,512.000000,0
2114.613636,512.000000,0
2114.618182,509.000000,0
2114.622727,509.000000,0
2114.627273,509.000000,0
2114.631818,509.000000,0
2114.636364,509.000000,0
2114.640909,509.000000,0
2114.645455,509.000000,0
2114.650000,509.000000,0
2114.654545,510.000000,0
2114.659091,510.000000,0
2114.663636,510.000000,0
2114.668182,510.000000,0
2114.672727,509.000000,0
2114.677273,509.000000,0
2114.681818,509.000000,0
2114.686364,509.000000,0
2114.690909,508.000000,0
2114.695455,508.000000,0
2114.700000,508.000000,0
2114.704545,508.000000,0
2114.709091,512.000000,0
2114.713636,512.000000,0
2114.718182,512.000000,0
2114.722727,512.000000,0
2114.727273,513.000000,0
2114.731818,513.000000,0
2114.736364,513.000000,0
2114.740909,513.000000,0
2114.745455,513.000000,0
2114.750000,513.000000,0
2114.754545,513.000000,0
2114.759091,513.000000,0
2114.763636,513.000000,0
2114.768182,510.000000,0
2114.772727,510.000000,0
2114.777273,510.000000,0
2114.781818,510.000000,0
2114.786364,510.000000,0
2114.790909,705.000000,0
2114.795455,705.000000,0
2114.800000,705.000000,0
2114.804545,460.000000,0
2114.809091,460.000000,0
2114.813636,460.000000,0
2114.818182,460.000000,0
2114.822727,503.000000,0
2114.827273,503.000000,0
2114.831818,503.000000,0
2114.836364,503.000000,0
2114.840909,509.000000,0
2114.845455,509.000000,0
2114.850000,509.000000,0
2114.854545,509.000000,0
2114.859091,509.000000,0
2114.863636,509.000000,0
2114.868182,509.000000,0
2114.872727,509.000000,0
2114.877273,512.000000,0
2114.881818,512.000000,0
2114.886364,512.000000,0
2114.890909,512.000000,0
2114.895455,510.000000,0
2114.900000,510.000000,0
2114.904545,510.000000,0
2114.909091,510.000000,0
2114.913636,509.000000,0
2114.918182,509.000000,0
2114.922727,509.000000,0
2114.927273,509.000000,0
2114.931818,509.000000,0
2114.936364,509.000000,0
2114.940909,509.000000,0
2114.945455,509.000000,0
2114.950000,509.000000,0
2114.954545,509.000000,0
2114.959091,510.000000,0
2114.963636,510.000000,0
2114.968182,510.000000,0
2114.972727,510.000000,0
2114.977273,509.000000,0
2114.981818,509.000000,0
2114.986364,509.000000,0
2114.990909,509.000000,0
2114.995455,510.000000,0
2115.000000,510.000000,0
2115.004545,510.000000,0
2115.009091,510.000000,0
2115.013636,513.000000,0
2115.018182,513.000000,0
2115.022727,513.000000,0
2115.027273,513.000000,0
2115.031818,510.000000,0
2115.036364,510.000000,0
2115.040909,510.000000,0
2115.045455,510.000000,0
2115.050000,510.000000,0
2115.054545,510.000000,0
2115.059091,510.000000,0
2115.063636,510.000000,0
2115.068182,510.000000,0
2115.072727,510.000000,0
2115.077273,510.000000,0
2115.081818,509.000000,0
2115.086364,509.000000,0
2115.090909,509.000000,0
2115.095455,509.000000,0
2115.100000,509.000000,0
2115.104545,509.000000,0
2115.109091,509.000000,0
2115.113636,509.000000,0
2115.118182,510.000000,0
2115.122727,510.000000,0
2115.127273,510.000000,0
2115.131818,510.000000,0
2115.136364,510.000000,0
2115.140909,510.000000,0
2115.145455,510.000000,0
2115.150000,510.000000,0
2115.154545,510.000000,0
2115.159091,510.000000,0
2115.163636,510.000000,0
2115.168182,510.000000,0
2115.172727,510.000000,0
2115.177273,510.000000,0
2115.181818,509.000000,0
2115.186364,509.000000,0
2115.190909,509.000000,0
2115.195455,508.000000,0
2115.200000,508.000000,0
2115.204545,508.000000,0
2115.209091,508.000000,0
2115.213636,512.000000,0
2115.218182,512.000000,0
2115.222727,512.000000,0
2115.227273,512.000000,0
2115.231818,509.000000,0
2115.236364,509.000000,0
2115.240909,509.000000,0
2115.245455,509.000000,0
2115.250000,510.000000,0
2115.254545,510.000000,0
2115.259091,510.000000,0
2115.263636,510.000000,0
2115.268182,512.000000,0
2115.272727,512.000000,0
2115.277273,512.000000,0
2115.281818,512.000000,0
2115.286364,510.000000,0
2115.290909,510.000000,0
2115.295455,510.000000,0
2115.300000,510.000000,0
2115.304545,510.000000,0
2115.309091,510.000000,0
2115.313636,510.000000,0
2115.318182,510.000000,0
2115.322727,510.000000,0
2115.327273,509.000000,0
2115.331818,509.000000,0
2115.336364,509.000000,0
2115.340909,509.000000,0
2115.345455,509.000000,0
2115.350000,509.000000,0
2115.354545,509.000000,0
2115.359091,509.000000,0
2115.363636,455.000000,0
2115.368182,455.000000,0
2115.372727,455.000000,0
2115.377273,455.000000,0
2115.381818,491.000000,0
2115.386364,491.000000,0
2115.390909,491.000000,0
2115.395455,491.000000,0
2115.400000,510.000000,0
2115.404545,510.000000,0
2115.409091,510.000000,0
2115.413636,510.000000,0
2115.418182,512.000000,0
2115.422727,512.000000,0
2115.427273,512.000000,0
2115.431818,512.000000,0
2115.436364,495.000000,0
2115.440909,495.000000,0
2115.445455,495.000000,0
2115.450000,495.000000,0
2115.454545,508.000000,0
2115.459091,508.000000,0
2115.463636,508.000000,0
2115.468182,508.000000,0
2115.472727,508.000000,0
2115.477273,508.000000,0
2115.481818,508.000000,0
2115.486364,508.000000,0
2115.490909,509.000000,0
2115.495455,509.000000,0
2115.500000,509.000000,0
2115.504545,509.000000,0
2115.509091,512.000000,0
2115.513636,512.000000,0
2115.518182,512.000000,0
2115.522727,512.000000,0
2115.527273,510.000000,0
2115.531818,510.000000,0
2115.536364,510.000000,0
2115.540909,510.000000,0
2115.545455,510.000000,0
2115.550000,513.000000,0
2115.554545,513.000000,0
2115.559091,513.000000,0
2115.563636,513.000000,0
2115.568182,510.000000,0
2115.572727,510.000000,0
2115.577273,510.000000,0
2115.581818,510.000000,0
2115.586364,509.000000,0
2115.590909,509.000000,0
2115.595455,509.000000,1
2115.600000,509.000000,0
2115.604545,509.000000,0
2115.609091,509.000000,0
2115.613636,509.000000,0
2115.618182,509.000000,0
2115.622727,509.000000,0
2115.627273,509.000000,0
2115.631818,509.000000,0
2115.636364,509.000000,0
2115.640909,509.000000,0
2115.645455,510.000000,0
2115.650000,510.000000,0
2115.654545,510.000000,0
2115.659091,510.000000,0
2115.663636,510.000000,0
2115.668182,510.000000,0
2115.672727,510.000000,0
2115.677273,513.000000,0
2115.681818,513.000000,0
2115.686364,513.000000,0
2115.690909,510.000000,0
2115.695455,510.000000,0
2115.700000,510.000000,0
2115.704545,510.000000,0
2115.709091,510.000000,0
2115.713636,510.000000,0
2115.718182,510.000000,0
2115.722727,510.000000,0
2115.727273,509.000000,0
2115.731818,509.000000,0
2115.736364,509.000000,0
2115.740909,509.000000,0
2115.745455,510.000000,0
2115.750000,510.000000,0
2115.754545,510.000000,0
2115.759091,510.000000,0
2115.763636,510.000000,0
2115.768182,510.000000,0
2115.772727,510.000000,0
2115.777273,513.000000,0
2115.781818,513.000000,0
2115.786364,513.000000,0
2115.790909,513.000000,0
2115.795455,513.000000,0
2115.800000,513.000000,0
2115.804545,513.000000,0
2115.809091,513.000000,0
2115.813636,509.000000,0
2115.818182,509.000000,0
2115.822727,509.000000,0
2115.827273,509.000000,0
