peak_id,timestamp,amplitude,min_amplitude,mean_frequency,median_frequency,predicted_class,confidence,prob_10,prob_25,prob_50
1,7.1,8.919475537299093,-23.216911028445292,29.99901931590019,27.0,10,0.8868544,0.8868544,0.077591054,0.035554506
2,12.425,0.411214169933662,-23.216911028445292,29.99901931590019,27.0,10,0.8850733,0.8850733,0.08861007,0.026316589
3,17.46,112.70402266296021,-23.216911028445292,29.99901931590019,27.0,10,0.86962545,0.86962545,0.09017558,0.040198974
4,21.115,31.698894364410577,-23.216911028445292,29.99901931590019,27.0,10,0.86962545,0.86962545,0.09017558,0.040198974
5,27.645,6.453557794262979,-23.216911028445292,29.99901931590019,27.0,10,0.8545536,0.8545536,0.0997418,0.04570463
6,30.305,9.831205776646291,-23.216911028445292,29.99901931590019,27.0,10,0.8868544,0.8868544,0.077591054,0.035554506
7,37.505,2.9760815530953897,-23.216911028445292,29.99901931590019,27.0,10,0.84486014,0.84486014,0.14311239,0.012027418
8,40.19,2.7358893066775902,-23.216911028445292,29.99901931590019,27.0,10,0.84683406,0.84683406,0.14309298,0.010072941
9,47.09,-23.216911028445292,-23.216911028445292,29.99901931590019,27.0,10,0.7716672,0.7716672,0.18857892,0.039753933
10,52.3,9.63452824190362,-23.216911028445292,29.99901931590019,27.0,10,0.8868544,0.8868544,0.077591054,0.035554506
