timestamp,ch1 (µV),event
3.6850,-6.20,0
3.6900,-12.44,0
3.6950,-12.44,0
3.7000,-12.44,0
3.7050,-12.44,0
3.7100,-2.66,0
3.7150,-2.66,0
3.7200,-5.78,0
3.7250,19.80,0
3.7300,19.80,0
3.7350,19.80,0
3.7400,-2.50,0
3.7450,3.20,0
3.7500,3.20,0
3.7550,15.72,0
3.7600,15.72,0
3.7650,19.54,0
3.7700,19.54,0
3.7750,-3.50,0
3.7800,-3.50,0
3.7850,2.70,0
3.7900,2.70,0
3.7950,-11.80,0
3.8000,-11.80,0
3.8050,-11.80,0
3.8100,-11.80,0
3.8150,-0.50,0
3.8200,-0.50,0
3.8250,3.78,0
3.8300,3.78,0
3.8350,9.38,0
3.8400,-8.18,0
3.8450,16.92,0
3.8500,16.92,0
3.8550,16.92,0
3.8600,16.92,0
3.8650,6.44,0
3.8700,6.44,0
3.8750,14.24,0
3.8800,14.24,0
3.8850,8.43,0
3.8900,20.17,0
3.8950,20.17,0
3.9000,-1.24,0
3.9050,7.22,0
3.9100,7.22,0
3.9150,7.22,0
3.9200,15.39,0
3.9250,15.39,0
3.9300,-11.14,0
3.9350,-11.14,0
3.9400,-1.33,0
3.9450,-1.33,0
3.9500,2.38,0
3.9550,2.38,0
3.9600,2.38,0
3.9650,2.38,0
3.9700,2.38,0
3.9750,-1.53,0
3.9800,-1.53,0
3.9850,-1.53,0
3.9900,6.57,0
3.9950,17.34,0
4.0000,-7.77,0
4.0050,2.38,0
4.0100,18.74,0
4.0150,-3.75,0
4.0200,-3.75,0
4.0250,19.65,0
4.0300,11.53,0
4.0350,-7.65,0
4.0400,-7.65,0
4.0450,7.44,0
4.0500,7.44,0
4.0550,-4.26,0
4.0600,-7.44,0
4.0650,25.81,0
4.0700,19.59,0
4.0750,19.59,0
4.0800,9.74,0
4.0850,9.74,0
4.0900,9.74,0
4.0950,-6.63,0
4.1000,-6.63,0
4.1050,20.25,0
4.1100,-7.44,0
4.1150,20.25,0
4.1200,10.04,0
4.1250,10.04,0
4.1300,5.46,0
4.1350,5.46,0
4.1400,5.46,0
4.1450,21.37,0
4.1500,21.37,0
4.1550,-10.44,0
4.1600,-10.44,0
4.1650,6.63,0
4.1700,6.63,0
4.1750,-4.11,0
4.1800,-4.11,0
4.1850,-4.11,0
4.1900,-4.11,0
4.1950,-6.20,0
4.2000,-6.20,0
4.2050,11.59,0
4.2100,11.59,0
4.2150,15.84,0
4.2200,-3.20,0
4.2250,20.68,0
4.2300,20.23,0
4.2350,-4.07,0
4.2400,-4.07,0
4.2450,-4.07,0
4.2500,2.65,0
4.2550,4.06,0
4.2600,4.06,0
4.2650,21.25,0
4.2700,21.25,0
4.2750,-7.73,0
4.2800,-3.65,0
4.2850,-7.73,0
4.2900,-7.73,0
4.2950,-7.73,0
4.3000,-7.73,0
4.3050,4.18,0
4.3100,4.06,0
4.3150,21.05,0
4.3200,-10.09,0
4.3250,-10.09,0
4.3300,9.89,0
4.3350,9.89,0
4.3400,-6.28,0
4.3450,-6.28,0
4.3500,20.51,0
4.3550,20.51,0
4.3600,20.51,0
4.3650,20.51,0
4.3700,13.66,0
4.3750,13.66,0
4.3800,13.66,0
4.3850,-6.86,0
4.3900,-6.86,0
4.3950,-7.90,0
4.4000,-7.90,0
4.4050,-7.90,0
4.4100,-7.90,0
4.4150,6.94,0
4.4200,17.80,0
4.4250,-3.01,0
4.4300,-3.01,0
4.4350,-7.60,0
4.4400,-7.60,0
4.4450,12.29,0
4.4500,12.29,0
4.4550,5.06,0
4.4600,5.06,0
4.4650,-5.91,0
4.4700,-5.91,0
4.4750,-5.91,0
4.4800,-5.91,0
4.4850,-7.28,0
4.4900,-7.28,0
4.4950,6.14,0
4.5000,6.14,0
4.5050,-2.47,0
4.5100,-2.47,0
4.5150,-7.59,0
4.5200,-7.59,0
4.5250,-7.59,0
4.5300,-7.59,0
4.5350,7.65,0
4.5400,7.65,0
4.5450,-5.19,0
4.5500,-5.19,0
4.5550,-9.71,0
4.5600,-9.71,0
4.5650,12.87,0
4.5700,12.87,0
4.5750,12.87,0
4.5800,12.87,0
4.5850,-4.99,0
4.5900,-4.99,0
4.5950,19.75,0
4.6000,19.75,0
4.6050,16.64,0
4.6100,16.64,0
4.6150,16.64,0
4.6200,-7.59,0
4.6250,5.75,0
4.6300,5.75,0
4.6350,4.54,0
4.6400,-7.27,0
4.6450,5.75,0
4.6500,-3.33,0
4.6550,19.52,0
4.6600,19.52,0
4.6650,19.52,0
4.6700,19.52,0
4.6750,19.52,0
4.6800,-11.02,0
4.6850,-11.02,0
4.6900,17.54,0
4.6950,17.54,0
4.7000,5.35,0
4.7050,-2.52,0
4.7100,-2.52,0
4.7150,-2.52,0
4.7200,20.59,0
4.7250,20.59,0
4.7300,15.05,0
4.7350,15.05,0
4.7400,3.06,0
4.7450,3.06,0
4.7500,3.06,0
4.7550,3.06,0
4.7600,3.06,0
4.7650,-8.23,0
4.7700,-8.23,0
4.7750,2.85,0
4.7800,2.85,0
4.7850,-3.08,0
4.7900,15.89,0
4.7950,22.09,0
4.8000,22.09,0
4.8050,-9.85,0
4.8100,-9.85,0
4.8150,17.79,0
4.8200,17.79,0
4.8250,-8.23,0
4.8300,17.79,0
4.8350,-1.77,0
4.8400,-1.77,0
4.8450,11.08,0
4.8500,11.08,0
4.8550,-8.95,0
4.8600,-8.95,0
4.8650,21.60,0
4.8700,8.03,0
4.8750,-3.18,0
4.8800,-3.18,0
4.8850,12.27,0
4.8900,-8.19,0
4.8950,-10.35,0
4.9000,-10.35,0
4.9050,21.83,0
4.9100,21.83,0
4.9150,-4.09,0
4.9200,-4.09,0
4.9250,4.77,0
4.9300,15.71,0
4.9350,-10.48,0
4.9400,-10.48,0
4.9450,-10.48,0
4.9500,19.95,0
4.9550,-9.35,0
4.9600,7.39,0
4.9650,-10.60,0
4.9700,10.62,0
4.9750,10.62,0
4.9800,10.62,0
4.9850,21.04,0
4.9900,21.04,0
4.9950,21.04,0
5.0000,-5.00,0
