timestamp,ch1 (µV),event
5.3400,17.66,0
5.3450,-9.38,0
5.3500,-9.38,0
5.3550,-9.38,0
5.3600,-9.38,0
5.3650,9.03,0
5.3700,9.03,0
5.3750,-3.64,0
5.3800,-3.64,0
5.3850,-3.64,0
5.3900,-5.55,0
5.3950,-5.55,0
5.4000,-5.70,0
5.4050,16.91,0
5.4100,16.53,0
5.4150,16.53,0
5.4200,16.53,0
5.4250,16.53,0
5.4300,16.53,0
5.4350,16.53,0
5.4400,8.84,0
5.4450,8.84,0
5.4500,17.84,0
5.4550,17.84,0
5.4600,-3.64,0
5.4650,-6.17,0
5.4700,-6.17,0
5.4750,-6.17,0
5.4800,-6.17,0
5.4850,9.24,0
5.4900,9.24,0
5.4950,-5.15,0
5.5000,-8.39,0
5.5050,-6.41,0
5.5100,-6.41,0
5.5150,9.71,0
5.5200,3.16,0
5.5250,3.16,0
5.5300,9.24,0
5.5350,-6.40,0
5.5400,-6.40,0
5.5450,19.21,0
5.5500,19.21,0
5.5550,8.24,0
5.5600,8.24,0
5.5650,7.99,0
5.5700,7.99,0
5.5750,-6.40,0
5.5800,-3.98,0
5.5850,-5.15,0
5.5900,-5.15,0
5.5950,-5.15,0
5.6000,-5.15,0
5.6050,9.42,0
5.6100,9.42,0
5.6150,-4.86,0
5.6200,-4.86,0
5.6250,-4.24,0
5.6300,-4.24,0
5.6350,9.41,0
5.6400,9.41,0
5.6450,8.04,0
5.6500,8.04,0
5.6550,-5.42,0
5.6600,-5.42,0
5.6650,19.22,0
5.6700,19.22,0
5.6750,-3.98,0
5.6800,14.85,0
5.6850,14.73,0
5.6900,14.73,0
5.6950,-0.52,0
5.7000,-0.52,0
5.7050,0.16,0
5.7100,0.16,0
5.7150,16.81,0
5.7200,16.81,0
5.7250,15.46,0
5.7300,18.35,0
5.7350,1.22,0
5.7400,1.22,0
5.7450,-0.05,0
5.7500,-0.05,0
5.7550,-7.59,0
5.7600,-7.59,0
5.7650,14.75,0
5.7700,14.75,0
5.7750,14.75,0
5.7800,14.75,0
5.7850,14.75,0
5.7900,-0.12,0
5.7950,-0.12,0
5.8000,13.63,0
5.8050,-7.17,0
5.8100,18.09,0
5.8150,0.57,0
5.8200,0.57,0
5.8250,0.57,0
