Time,fwEMG 3,Subject,MVC,Trial,Peak_Number,Is_Highest
229.51363636363635,0.06355304241559684,S01,10,1,1,False
237.1909090909091,0.045479900407452714,S01,10,1,2,False
244.03181818181818,0.04820966907854092,S01,10,1,3,False
246.37272727272727,0.06617920301807642,S01,10,1,4,False
251.55454545454546,0.049596738085487424,S01,10,1,5,False
253.95,0.06397474138913137,S01,10,1,6,False
256.15,0.044817867606542175,S01,10,1,7,False
258.4,0.07434986648246195,S01,10,1,8,False
260.55,0.04534845536776161,S01,10,1,9,False
262.9590909090909,0.04750739581358198,S01,10,1,10,False
265.9136363636364,0.06093026826474741,S01,10,1,11,False
269.80454545454546,0.05596665078149048,S01,10,1,12,False
273.5181818181818,0.06302190740273073,S01,10,1,13,False
279.0863636363636,0.060715567388473904,S01,10,1,14,False
281.15909090909093,0.04862063749533373,S01,10,1,15,False
283.46363636363634,0.06535289941795203,S01,10,1,16,False
288.05454545454546,0.05325412834381107,S01,10,1,17,False
290.27272727272725,0.04804655871852381,S01,10,1,18,False
292.57272727272726,0.05225387257021994,S01,10,1,19,False
294.66818181818184,0.059067827219752435,S01,10,1,20,False
297.8590909090909,0.05126166720389418,S01,10,1,21,False
303.09090909090907,0.0551461785845204,S01,10,1,22,False
306.15909090909093,0.04873866311135774,S01,10,1,23,False
308.4,0.05318624417973314,S01,10,1,24,False
310.6818181818182,0.04295998838158822,S01,10,1,25,False
312.9318181818182,0.042572107340499515,S01,10,1,26,False
318.30454545454546,0.053346838181809374,S01,10,1,27,False
322.0318181818182,0.04647117678150541,S01,10,1,28,False
325.0954545454546,0.09690799144855998,S01,10,1,29,False
328.20454545454544,0.05648372744768226,S01,10,1,30,False
330.3863636363636,0.09987675705924276,S01,10,1,31,True
334.9409090909091,0.05120149152051261,S01,10,1,32,False
339.4227272727273,0.08306499153233926,S01,10,1,33,False
343.24545454545455,0.07885637991188227,S01,10,1,34,False
346.9681818181818,0.0783016099176716,S01,10,1,35,False
350.82272727272726,0.05132837883965586,S01,10,1,36,False
353.1227272727273,0.049101993023697055,S01,10,1,37,False
355.4409090909091,0.08017157781161272,S01,10,1,38,False
357.6409090909091,0.05216272119962919,S01,10,1,39,False
361.4590909090909,0.05011911611456001,S01,10,1,40,False
363.7772727272727,0.07577585851209614,S01,10,1,41,False
366.6727272727273,0.09951264643943701,S01,10,1,42,False
368.93636363636364,0.06047967095256176,S01,10,1,43,False
372.06363636363636,0.09687121881028689,S01,10,1,44,False
375.8727272727273,0.06254620640953815,S01,10,1,45,False
379.7,0.0756771860858661,S01,10,1,46,False
382.5863636363636,0.053939035593496845,S01,10,1,47,False
385.71363636363634,0.09304125298977924,S01,10,1,48,False
388.66818181818184,0.06846179018440168,S01,10,1,49,False
392.53636363636366,0.05297004454970159,S01,10,1,50,False
396.2090909090909,0.07490822707473588,S01,10,1,51,False
399.3,0.057756898129656335,S01,10,1,52,False
403.8863636363636,0.0648658916037664,S01,10,1,53,False
406.93636363636364,0.08014607755829495,S01,10,1,54,False
409.93636363636364,0.05439336981187506,S01,10,1,55,False
414.53636363636366,0.047082266385458746,S01,10,1,56,False
416.6363636363636,0.06373607364085732,S01,10,1,57,False
420.4318181818182,0.05430184995660147,S01,10,1,58,False
423.5090909090909,0.06457148657351022,S01,10,1,59,False
428.1363636363636,0.05050603638339753,S01,10,1,60,False
431.94545454545454,0.05642077970755533,S01,10,1,61,False
436.48636363636365,0.07413979324770618,S01,10,1,62,False
438.7681818181818,0.050009755617592994,S01,10,1,63,False
442.53636363636366,0.05315132903184253,S01,10,1,64,False
445.5,0.07534623690423695,S01,10,1,65,False
449.2,0.06362207328746497,S01,10,1,66,False
451.6363636363636,0.0732453886651857,S01,10,1,67,False
456.9318181818182,0.04297237001362509,S01,10,1,68,False
460.07272727272726,0.061468294094731556,S01,10,1,69,False
462.1909090909091,0.05773422774918946,S01,10,1,70,False
466.68636363636364,0.0533975571010882,S01,10,1,71,False
469.81363636363636,0.046903554129422695,S01,10,1,72,False
472.01363636363635,0.0670894732121339,S01,10,1,73,False
474.16818181818184,0.04667685690619958,S01,10,1,74,False
477.5181818181818,0.048495180352154735,S01,10,1,75,False
480.42727272727274,0.05629047887235334,S01,10,1,76,False
484.2318181818182,0.05504809525377141,S01,10,1,77,False
488.68636363636364,0.05711916868745272,S01,10,1,78,False
491.1045454545455,0.058546076043387775,S01,10,1,79,False
494.71363636363634,0.08032889091022183,S01,10,1,80,False
499.32272727272726,0.04650756053985359,S01,10,1,81,False
235.95909090909092,0.059321179682755465,S01,10,2,1,False
240.43636363636364,0.03825798926927205,S01,10,2,2,False
242.6818181818182,0.04116438822048939,S01,10,2,3,False
246.58636363636364,0.062039938454715275,S01,10,2,4,False
249.5090909090909,0.04401969669278119,S01,10,2,5,False
251.7,0.043424925630636234,S01,10,2,6,False
254.8090909090909,0.052928591079653746,S01,10,2,7,False
258.6,0.06370908561396871,S01,10,2,8,False
260.8909090909091,0.039685354901116396,S01,10,2,9,False
264.44545454545454,0.05940188547731361,S01,10,2,10,False
267.7227272727273,0.06330709140771243,S01,10,2,11,False
270.6272727272727,0.07594412641568332,S01,10,2,12,False
277.6181818181818,0.043799436958553206,S01,10,2,13,False
280.5772727272727,0.04929871583411128,S01,10,2,14,False
282.85,0.037798044111791315,S01,10,2,15,False
