timestamp,ch1 (µV),event
3.3800,32.04,0
3.3850,32.04,0
3.3900,15.25,0
3.3950,15.25,0
3.4000,15.25,0
3.4050,-29.66,0
3.4100,-29.66,0
3.4150,-36.13,0
3.4200,-36.13,0
3.4250,10.98,0
3.4300,63.95,0
3.4350,-31.57,0
3.4400,-31.57,0
3.4450,-31.57,0
3.4500,-31.57,0
3.4550,-31.57,0
3.4600,-31.57,0
3.4650,-34.23,0
3.4700,-34.23,0
3.4750,-34.23,0
3.4800,-34.23,0
3.4850,-34.23,0
3.4900,52.92,0
3.4950,7.55,0
3.5000,25.71,0
3.5050,25.71,0
3.5100,14.38,0
3.5150,14.38,0
3.5200,57.44,0
3.5250,57.44,0
3.5300,57.44,0
3.5350,-37.76,0
3.5400,-37.76,0
3.5450,-37.76,0
3.5500,14.00,0
3.5550,14.00,0
3.5600,14.00,0
3.5650,14.00,0
3.5700,54.70,0
3.5750,54.70,0
3.5800,23.73,0
3.5850,23.73,0
3.5900,12.71,0
3.5950,49.09,0
3.6000,12.71,0
3.6050,-34.50,0
3.6100,-34.50,0
3.6150,47.08,0
3.6200,22.11,0
3.6250,22.11,0
3.6300,22.11,0
3.6350,11.29,0
3.6400,11.29,0
3.6450,-31.29,0
3.6500,11.29,0
3.6550,11.29,0
3.6600,-43.97,0
3.6650,22.98,0
3.6700,22.98,0
3.6750,14.28,0
3.6800,-33.74,0
3.6850,-33.74,0
3.6900,51.34,0
3.6950,51.34,0
3.7000,51.34,0
3.7050,20.51,0
3.7100,20.51,0
3.7150,20.51,0
3.7200,20.51,0
3.7250,20.51,0
3.7300,20.51,0
3.7350,20.51,0
3.7400,20.51,0
3.7450,15.81,0
3.7500,19.97,0
3.7550,19.97,0
3.7600,14.33,0
3.7650,14.33,0
3.7700,14.33,0
3.7750,14.33,0
3.7800,-29.56,0
3.7850,-29.56,0
3.7900,17.10,0
3.7950,17.10,0
3.8000,-31.44,0
3.8050,74.26,0
3.8100,55.11,0
3.8150,55.11,0
3.8200,55.11,0
3.8250,-31.88,0
3.8300,20.71,0
3.8350,20.71,0
3.8400,20.71,0
3.8450,43.64,0
3.8500,-32.43,0
3.8550,-32.43,0
3.8600,-32.43,0
3.8650,54.48,0
3.8700,54.48,0
3.8750,23.50,0
